"year","latitude","longitude","vom","mean_temp_Aug_1","mean_temp_Aug_2","mean_temp_July_3","mean_temp_July_4","total_precip_Aug_1","total_precip_Aug_2","total_precip_July_3","total_precip_July_4"
2012,42.11305,-82.69155,0,24.5014285714286,20.7342857142857,24.9104761904762,23.7217142857143,2.05619047619048,7.89285714285714,1.28,4.364
2012,42.14715,-82.5909666666667,0,24.0980952380953,20.9862857142857,24.0371428571429,23.6857142857143,1.68285714285714,8.14685714285714,1.72666666666667,2.9
2012,42.2659333333333,-82.5094,0,24.3333333333333,21.2435714285714,24.2464285714286,23.9321428571429,1.62857142857143,8.205,2.125,2.24285714285714
2022,42.340065599662,-82.2727930428002,0,23.8325396825397,19.2428571428571,25.2357142857143,20.6142857142857,2.35079365079365,2.01428571428572,5.00952380952381,0.328571428571429
2022,42.3241009031168,-82.2715980079819,0,23.8325396825397,19.2428571428571,25.2357142857143,20.6142857142857,2.35079365079365,2.01428571428572,5.00952380952381,0.328571428571429
2012,42.4613,-82.1316666666667,0,22.3587301587301,20.6009523809524,22.1714285714286,22.4666666666667,0.521428571428571,7.68761904761905,2.67142857142857,6.87142857142858
2022,42.8560773449507,-81.8747087078684,0,24.0857142857143,19.402380952381,25.1857142857143,21.4357142857143,11.0619047619048,0.332142857142857,1.46428571428571,0.107142857142857
2012,42.458436,-81.86012,0,22.3587301587301,20.6009523809524,22.1714285714286,22.4666666666667,0.521428571428571,7.68761904761905,2.67142857142857,6.87142857142858
2012,42.6377666666667,-81.7352,0,21.9428571428571,19.4971428571429,22.3395238095238,21.6533333333333,1.19285714285714,7.47714285714286,2.8447619047619,7.46571428571429
2012,43.28488,-81.68202,0,22.8178571428572,19.7964285714286,22.4785714285714,21.2857142857143,0.957738095238094,6.275,0.628571428571428,5.325
2012,42.956572,-81.64418,0,22.4742857142857,19.5914285714286,22.6766666666667,21.7819047619048,1.08,7.65142857142857,2.09619047619048,5.31142857142857
2022,42.983601351567,-81.6423825177619,0,23.35,19.4785714285714,24.6214285714286,20.1428571428571,7.77857142857143,2.54285714285714,2.92857142857143,0.214285714285714
2022,42.9827239782861,-81.6417190597382,0,23.35,19.4785714285714,24.6214285714286,20.1428571428571,7.77857142857143,2.54285714285714,2.92857142857143,0.214285714285714
2022,42.9826586414786,-81.6411576721761,0,23.35,19.4785714285714,24.6214285714286,20.1428571428571,7.77857142857143,2.54285714285714,2.92857142857143,0.214285714285714
2012,43.4757,-81.6372,0,22.7241071428572,19.5978571428572,22.4335714285714,21.1585714285714,0.89345238095238,6.93,0.628571428571428,6.50857142857143
2012,42.619744,-81.628653,0,21.9428571428571,19.4971428571429,22.3395238095238,21.6533333333333,1.19285714285714,7.47714285714286,2.8447619047619,7.46571428571429
2012,42.6191833333333,-81.6277833333333,0,21.9428571428571,19.4971428571429,22.3395238095238,21.6533333333333,1.19285714285714,7.47714285714286,2.8447619047619,7.46571428571429
2012,43.6051,-81.6099,0,22.95625,19.555,22.5579761904762,21.0264285714286,0.47202380952381,6.52285714285714,0.342857142857143,6.22285714285715
2012,43.1061,-81.5233166666667,0,23.0571428571429,20,22.9285714285714,21.7904761904762,1.23809523809524,6.87142857142857,0.77142857142857,5.53809523809524
2012,42.84305,-81.52185,0,22.1464285714286,19.7392857142857,22.5744047619048,21.9309523809524,1.1,7.27857142857143,1.75595238095238,5.25357142857143
2012,43.736,-81.5194,0,22.465,19.2582857142857,21.9263809523809,20.6954285714286,0.557619047619047,7.58114285714286,0.168571428571429,5.49257142857143
2022,43.0593891168291,-81.4899683642831,0,23.35,19.4785714285714,24.6214285714286,20.1428571428571,7.77857142857143,2.54285714285714,2.92857142857143,0.214285714285714
2022,43.8153978681539,-81.4859827180016,0,22.2,17.2714285714286,22.9928571428571,18.9214285714285,8.04285714285714,0.614285714285714,3.28571428571428,1.53571428571428
2012,43.110946,-81.464485,0,23.0571428571429,20,22.9285714285714,21.7904761904762,1.23809523809524,6.87142857142857,0.77142857142857,5.53809523809524
2022,43.7767147076101,-81.4585234799284,0,22.2,17.2714285714286,22.9928571428571,18.9214285714285,8.04285714285714,0.614285714285714,3.28571428571428,1.53571428571428
